,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
103,King,3436 S. King Dr.,Chicago,60616,2904,3518,1960,0,0,65,1260,1438,1588,1585,1290,1294,16902,POINT (-87.61733500000001 41.832238000000004),Visitors,2020
104,West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3816,4175,7177,0,0,1076,2310,2471,2451,3088,2186,1979,30729,POINT (-87.785858 41.936833),Visitors,2020
105,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,10899,11767,7358,0,0,5363,5653,5363,6430,7365,6105,6099,72402,POINT (-87.706545 41.89433),Visitors,2020
106,Humboldt Park,1605 N. Troy St.,Chicago,60647,4846,4760,6954,0,0,947,2441,3156,3432,4809,3148,2786,37279,POINT (-87.705655 41.910536),Visitors,2020
107,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,29483,27624,14313,0,0,9709,14281,14330,14172,15367,12640,13600,165519,POINT (-87.684637 41.962677),Visitors,2020
108,Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7216,6828,3628,0,0,309,0,0,0,0,140,1954,20075,POINT (-87.590213 41.80762),Visitors,2020
109,North Austin,5724 W. North Ave.,Chicago,60639,3864,3893,1597,0,0,594,1260,1528,1448,1403,1192,1128,17907,POINT (-87.768878 41.909401),Visitors,2020
110,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,8004,7119,10619,0,0,1010,1639,2376,2541,1505,1988,1330,38131,POINT (-87.61416 41.751132),Visitors,2020
111,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,10069,9802,8101,0,0,3299,5719,6141,5455,5560,5100,5095,64341,POINT (-87.696439 41.983843),Visitors,2020
112,Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11563,11031,13002,0,0,4139,5547,5466,4993,6030,4960,5009,71740,POINT (-87.658126 41.925316),Visitors,2020
113,West Lawn,4020 W. 63rd St.,Chicago,60629,4880,4682,3255,0,0,538,891,1288,1391,1548,1055,1041,20569,POINT (-87.723756 41.778629),Visitors,2020
114,Archer Heights,5055 S. Archer Ave.,Chicago,60632,6620,5803,4045,0,0,2697,3767,3754,3737,3999,3198,3229,40849,POINT (-87.726723 41.801206),Visitors,2020
115,Hegewisch,3048 E. 130th St.,Chicago,60633,3017,2785,2064,0,0,1378,1832,1857,1698,1998,961,1332,18922,POINT (-87.548914 41.65915300000001),Visitors,2020
