,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR,LAT,LNG
590,,,60651,,,156.0,708.0,855.0,161.0,206.0,320.0,192.0,601.0,1912.0,946.0,6057.0,Cases,2020,41.901964,-87.741017
591,,,60652,,,118.0,373.0,446.0,109.0,154.0,295.0,245.0,541.0,1278.0,599.0,4158.0,Cases,2020,41.745398,-87.714238
592,,,60653,,,113.0,211.0,192.0,64.0,89.0,75.0,47.0,208.0,606.0,312.0,1917.0,Cases,2020,41.819261,-87.611244
593,,,60654,,,43.0,71.0,28.0,36.0,58.0,74.0,89.0,247.0,590.0,228.0,1464.0,Cases,2020,41.892485,-87.636354
594,,,60655,,,74.0,122.0,70.0,24.0,104.0,207.0,106.0,455.0,1061.0,434.0,2657.0,Cases,2020,41.696456,-87.701434
595,,,60656,,,48.0,110.0,107.0,44.0,76.0,172.0,100.0,329.0,811.0,399.0,2196.0,Cases,2020,41.974566,-87.817934
596,,,60657,,,120.0,113.0,106.0,75.0,161.0,251.0,243.0,603.0,1435.0,539.0,3646.0,Cases,2020,41.939715,-87.658216
597,,,60659,,,125.0,322.0,291.0,81.0,83.0,147.0,99.0,345.0,1006.0,527.0,3026.0,Cases,2020,41.990803,-87.703266
598,,,60660,,,61.0,214.0,156.0,58.0,85.0,113.0,107.0,238.0,645.0,337.0,2014.0,Cases,2020,41.991062,-87.666362
599,,,60661,,,12.0,13.0,15.0,16.0,43.0,26.0,38.0,111.0,217.0,73.0,564.0,Cases,2020,41.882786,-87.644283
600,,,60666,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cases,2020,41.979511,-87.896371
601,,,60707,,,28.0,171.0,170.0,37.0,49.0,92.0,66.0,247.0,649.0,283.0,1792.0,Cases,2020,41.921777,-87.808283
602,,,60827,,,12.0,30.0,37.0,5.0,13.0,7.0,7.0,29.0,62.0,45.0,247.0,Cases,2020,41.650765,-87.633087
