,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR
103,310 W. Division St.,Chicago,60610,8232.0,7589.0,8325.0,8367.0,8600.0,8953.0,9921.0,9653.0,8051.0,9220.0,7965.0,7350.0,102226.0,Visitors,2019
104,5724 W. North Ave.,Chicago,60639,997.0,821.0,735.0,995.0,959.0,1030.0,1308.0,1333.0,1161.0,1238.0,1014.0,875.0,12466.0,Circulation,2019
105,5724 W. North Ave.,Chicago,60639,997.0,821.0,735.0,995.0,959.0,1030.0,1308.0,1333.0,1161.0,1238.0,1014.0,875.0,12466.0,Visitors,2019
106,4300 W. North Ave.,Chicago,60639,2476.0,2106.0,2397.0,2677.0,2290.0,2076.0,2514.0,2514.0,2097.0,2314.0,2074.0,1695.0,27230.0,Circulation,2019
107,4300 W. North Ave.,Chicago,60639,2476.0,2106.0,2397.0,2677.0,2290.0,2076.0,2514.0,2514.0,2097.0,2314.0,2074.0,1695.0,27230.0,Visitors,2019
108,6800 N. Western Ave.,Chicago,60645,109.0,45.0,9413.0,10129.0,9740.0,11365.0,13998.0,12762.0,9765.0,11590.0,9017.0,9011.0,106944.0,Circulation,2019
109,6800 N. Western Ave.,Chicago,60645,109.0,45.0,9413.0,10129.0,9740.0,11365.0,13998.0,12762.0,9765.0,11590.0,9017.0,9011.0,106944.0,Visitors,2019
110,7454 W. Balmoral Ave.,Chicago,60656,5120.0,5265.0,6103.0,5583.0,5305.0,6012.0,6505.0,5992.0,4985.0,5501.0,4503.0,4334.0,65208.0,Circulation,2019
111,7454 W. Balmoral Ave.,Chicago,60656,5120.0,5265.0,6103.0,5583.0,5305.0,6012.0,6505.0,5992.0,4985.0,5501.0,4503.0,4334.0,65208.0,Visitors,2019
112,5108 W. Belmont Ave.,Chicago,60641,6272.0,5363.0,6671.0,2688.0,0.0,1265.0,6023.0,5576.0,5101.0,4703.0,4909.0,4062.0,52633.0,Circulation,2019
113,5108 W. Belmont Ave.,Chicago,60641,6272.0,5363.0,6671.0,2688.0,0.0,1265.0,6023.0,5576.0,5101.0,4703.0,4909.0,4062.0,52633.0,Visitors,2019
114,11001 S. Indiana Ave.,Chicago,60628,1139.0,1072.0,1052.0,1013.0,1104.0,1155.0,976.0,1042.0,1067.0,1046.0,885.0,955.0,12506.0,Circulation,2019
115,11001 S. Indiana Ave.,Chicago,60628,1139.0,1072.0,1052.0,1013.0,1104.0,1155.0,976.0,1042.0,1067.0,1046.0,885.0,955.0,12506.0,Visitors,2019
116,6083 N. Northwest Hwy.,Chicago,60631,5994.0,5749.0,6976.0,6455.0,5990.0,6697.0,7785.0,6981.0,5813.0,6196.0,5845.0,2444.0,72925.0,Circulation,2019
117,6083 N. Northwest Hwy.,Chicago,60631,5994.0,5749.0,6976.0,6455.0,5990.0,6697.0,7785.0,6981.0,5813.0,6196.0,5845.0,2444.0,72925.0,Visitors,2019
118,6907 N. Clark St.,Chicago,60626,10289.0,10039.0,10648.0,9532.0,8916.0,9357.0,10283.0,10171.0,8841.0,9068.0,8141.0,7680.0,112965.0,Circulation,2019
119,6907 N. Clark St.,Chicago,60626,10289.0,10039.0,10648.0,9532.0,8916.0,9357.0,10283.0,10171.0,8841.0,9068.0,8141.0,7680.0,112965.0,Visitors,2019
120,4101 W. 79th St.,Chicago,60652,2062.0,1744.0,2184.0,2016.0,1875.0,1836.0,2038.0,1826.0,1530.0,1719.0,1689.0,1404.0,21923.0,Circulation,2019
121,4101 W. 79th St.,Chicago,60652,2062.0,1744.0,2184.0,2016.0,1875.0,1836.0,2038.0,1826.0,1530.0,1719.0,1689.0,1404.0,21923.0,Visitors,2019
122,5440 S. Racine Ave.,Chicago,60609,589.0,593.0,540.0,595.0,584.0,483.0,743.0,696.0,548.0,691.0,515.0,427.0,7004.0,Circulation,2019
123,5440 S. Racine Ave.,Chicago,60609,589.0,593.0,540.0,595.0,584.0,483.0,743.0,696.0,548.0,691.0,515.0,427.0,7004.0,Visitors,2019
124,9055 S. Houston Ave.,Chicago,60617,1375.0,1548.0,1480.0,1677.0,1541.0,1601.0,1612.0,1614.0,1641.0,1790.0,1484.0,1336.0,18699.0,Circulation,2019
125,9055 S. Houston Ave.,Chicago,60617,1375.0,1548.0,1480.0,1677.0,1541.0,1601.0,1612.0,1614.0,1641.0,1790.0,1484.0,1336.0,18699.0,Visitors,2019
126,2505 E. 73rd St.,Chicago,60649,2052.0,511.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2571.0,Circulation,2019
127,2505 E. 73rd St.,Chicago,60649,2052.0,511.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2571.0,Visitors,2019
128,4455 N. Lincoln Ave.,Chicago,60625,31782.0,29305.0,33438.0,30611.0,29432.0,32036.0,33964.0,33231.0,29364.0,30507.0,29105.0,26755.0,369530.0,Circulation,2019
129,4455 N. Lincoln Ave.,Chicago,60625,31782.0,29305.0,33438.0,30611.0,29432.0,32036.0,33964.0,33231.0,29364.0,30507.0,29105.0,26755.0,369530.0,Visitors,2019
130,7506 S. Racine Ave.,Chicago,60620,1845.0,1936.0,1730.0,1753.0,1868.0,1945.0,2108.0,1699.0,1595.0,1857.0,1508.0,1295.0,21139.0,Circulation,2019
131,7506 S. Racine Ave.,Chicago,60620,1845.0,1936.0,1730.0,1753.0,1868.0,1945.0,2108.0,1699.0,1595.0,1857.0,1508.0,1295.0,21139.0,Visitors,2019
132,2708 S. Pulaski Rd.,Chicago,60623,4427.0,4176.0,4282.0,4473.0,3687.0,3752.0,4700.0,3840.0,4213.0,4874.0,3991.0,3612.0,50027.0,Circulation,2019
133,2708 S. Pulaski Rd.,Chicago,60623,4427.0,4176.0,4282.0,4473.0,3687.0,3752.0,4700.0,3840.0,4213.0,4874.0,3991.0,3612.0,50027.0,Visitors,2019
134,929 W. Buena Ave.,Chicago,60613,4063.0,5991.0,7361.0,7704.0,7969.0,8542.0,9561.0,9434.0,7843.0,8226.0,7514.0,6661.0,90869.0,Circulation,2019
135,929 W. Buena Ave.,Chicago,60613,4063.0,5991.0,7361.0,7704.0,7969.0,8542.0,9561.0,9434.0,7843.0,8226.0,7514.0,6661.0,90869.0,Visitors,2019
136,3710 E. 106th St.,Chicago,60617,2715.0,2577.0,2948.0,2581.0,2480.0,2536.0,2907.0,2621.0,2293.0,2911.0,2254.0,1208.0,30031.0,Circulation,2019
137,3710 E. 106th St.,Chicago,60617,2715.0,2577.0,2948.0,2581.0,2480.0,2536.0,2907.0,2621.0,2293.0,2911.0,2254.0,1208.0,30031.0,Visitors,2019
138,11071 S. Hoyne Ave.,Chicago,60643,1385.0,1481.0,1480.0,1381.0,1451.0,1697.0,2011.0,2080.0,1597.0,1115.0,54.0,773.0,16505.0,Circulation,2019
139,11071 S. Hoyne Ave.,Chicago,60643,1385.0,1481.0,1480.0,1381.0,1451.0,1697.0,2011.0,2080.0,1597.0,1115.0,54.0,773.0,16505.0,Visitors,2019
140,163 E. Pearson Street,Chicago,60611,4141.0,3801.0,4478.0,4515.0,4864.0,4964.0,5788.0,5799.0,5057.0,5194.0,5049.0,4308.0,57958.0,Circulation,2019
141,163 E. Pearson Street,Chicago,60611,4141.0,3801.0,4478.0,4515.0,4864.0,4964.0,5788.0,5799.0,5057.0,5194.0,5049.0,4308.0,57958.0,Visitors,2019
